Kategoria,Tytuł (Ćwiczenie),Opis,Źródło (Autor Rok),Link,Klatka (Góra) [%],Klatka (Środek/Dół) [%],Najszerszy Grzbietu [%],Czworoboczny Środek [%],Przód Barku [%],Bok Barku [%],Tył Barku [%],Prostownik Lędźwiowy [%],Prosty Brzucha [%],Czworogłowy Uda [%],Dwugłowy Uda [%],Pośladkowy Wielki [%],Triceps [%],Biceps [%],Multifidus (wielodzielne) [%],Pośladkowy Średni [%],Przywodziciele uda [%],Łydka [%],Skośny zewnętrzny brzucha [%],Skośny wewnętrzny brzucha [%]
C. Akcesoria (Dół ciała),Leg Curl (Uginanie nóg),Izolacja na dwugłowe uda (tył uda - zdrowie kolan).,Schoenfeld 2015,https://pubmed.ncbi.nlm.nih.gov/24978835/,0,0,0,0,0,0,0,0,0,0,68.0,0,0,0,0,0,0,0,0,0
C. Akcesoria (Dół ciała),Leg Extension,"Izolacja i ""palenie"" mięśni czworogłowych uda (przód uda).",Alkner 2019,https://doi.org/10.3357/AMHP.5097.2019,0,0,0,0,0,0,0,0,0,81.0,0,0,0,0,0,0,0,0,0,0
B. Wariacje (Wyciskanie),Incline Bench Press (45°),"Wyciskanie sztangi na ławce skośnej 45°. Skorygowano, bo wcześniej duplikowało zwykły incline.",Lauver 2015,https://doi.org/10.1080/17461391.2015.1022605,124.8,71.6,0,0,97.5,0,0,0,0,0,0,0,117.8,0,0,0,0,0,0,0
C. Akcesoria (Góra ciała),Chest Press (Maszyna siedząc),"Bezpieczna alternatywa dla sztangi, dobrze izolująca klatkę piersiową. Dodano bark przedni i triceps.",Coratella 2023,https://doi.org/10.5114/jhk/161468,60.8,76.1,0,0,24.0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0
C. Akcesoria (Góra ciała),Dips (Pompki na poręczach - szerokie),"Szeroki wariant mocniej angażuje klatkę; triceps uzupełniono z bar dip EMG.",Bagchi 2015 / McKenzie 2022,https://doi.org/10.3390/ijerph192114390,45.0,84.6,0,0,65.0,25.0,0,0,25.0,0,0,0,79.53,0,0,0,0,0,25.0,0
C. Akcesoria (Góra ciała),Overhead Press (OHP),Wyciskanie żołnierskie. Skorygowano na deltoidowo-tricepsowy profil ruchu.,Soncin 2014 / Büll 2010,https://pmc.ncbi.nlm.nih.gov/articles/PMC4327372/,0,15.0,0,0,87.31,55.0,20.0,0,0,0,0,0,45.48,0,0,0,0,0,0,0
C. Akcesoria (Góra ciała),Decline Bench Press,"Wyciskanie na skosie ujemnym (-15 stopni). Dodano bark przedni i triceps z benchu decline.",Lauver 2015,https://doi.org/10.1080/17461391.2015.1022605,75.0,88.8,0,0,58.3,0,0,0,0,0,0,0,102.2,0,0,0,0,0,0,0
C. Akcesoria (Góra ciała),Wyciskanie Francuskie,Izolowane prostowanie ramion. Poprzedni wpis był błędnie klatkowy; ustawiono jako ruch triceps-dominant.,Soncin 2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC4327372/,0,0,0,0,44.11,0,0,0,0,0,0,0,83.27,0,0,0,0,0,0,0
C. Akcesoria (Plecy),Pendlay Row / Barbell Row,Wiosłowanie sztangą (siła eksplozywna i grubość pleców).,García-Jaén 2021,https://doi.org/10.7752/jpes.2021.04236,0,0,43.3,52.3,0,0,81.7,70.7,0,0,0,0,0,0,0,0,0,0,0,0
C. Akcesoria (Plecy),Pull-ups,"Podciąganie na drążku (pronated grip). Zmieniono źródło z Snarr 2017 (rear_delts 106±69 — SD>60%, prawdopodobny cross-talk z infraspinatus/teres major) na Youdas 2010 (lats 117–130% — dominujące) + Dickie 2016 (middle trap 60.1% peak, pronated). Rear_delts pominięte: nie mierzone w lats-dominant studiach, nie jest primary mover w pull-upie (shoulder adduction + elbow flexion).",Youdas 2010 + Dickie 2016,https://pubmed.ncbi.nlm.nih.gov/21068680/,0,0,120,60,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
C. Akcesoria (Plecy),Lat Pulldown,Ściąganie drążka wyciągu górnego (izolacja najszerszego grzbietu).,Buonsenso 2025,https://doi.org/10.3390/jfmk10030345,0,0,49.0,38.0,0,0,30.0,0,0,0,0,0,0,27.0,0,0,0,0,0,0
C. Akcesoria (Plecy),Reverse Fly (Maszyna),Odwodzenie horyzontalne. Chwyt neutralny (kciuki w górę) dopala tył barku.,Schoenfeld 2013,https://pubmed.ncbi.nlm.nih.gov/23442269/,0,0,0,0,0,75.0,90.3,0,0,0,0,0,0,0,0,0,0,0,0,0
C. Akcesoria (Plecy),Seal Row,Wiosłowanie w leżeniu na ławce (izolacja pleców bez obciążania dołu grzbietu).,García-Jaén 2021,https://doi.org/10.7752/jpes.2021.04236,0,0,29.7,53.0,0,0,74.3,23.7,0,0,0,0,0,0,0,0,0,0,0,0
D. Stabilizacja i Core,Plank (Deska),Wersja „Hardstyle” (maksymalne napięcie całego ciała na 10-15 sekund).,Calatayud 2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6801665/,0,0,0,0,0,0,0,0,46.0,0,0,0,0,0,0,0,0,0,0,0
D. Stabilizacja i Core,Farmer’s Walk,"Spacer farmera (chwyt, ogólna stabilizacja, wzmocnienie całego ciała).",Ellestad 2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11042841/,0,0,0,0,0,0,0,16.4,10.7,0,0,0,0,0,16.3,0,0,0,14.2,0
D. Stabilizacja i Core,Wznosy nóg w zwisie,Mocne zaangażowanie dolnych partii brzucha i zginaczy bioder.,Escamilla 2006,https://scispace.com/pdf/electromyographic-analysis-of-traditional-and-nontraditional-2zoi2kexgi.pdf,0,0,21,0,0,0,0,7,75,15,0,0,0,0,0,0,0,0,79,0
D. Stabilizacja i Core,Ab Wheel Rollout (Kółko),Potężne ćwiczenie antywyprostne (buduje siłę brzucha do przysiadów).,Marchetti 2017,https://www.researchgate.net/publication/314529858,0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0
D. Stabilizacja i Core,Dead Bug (60 bpm - wolne tempo),Nauka oddychania przeponowego i usztywnienia tułowia (bezpieczeństwo lędźwi).,Byeong-Gwon Yun 2017,https://www.jptrs.org/journal/view.html?doi=10.14474/ptrs.2017.6.1.1,0,0,0,0,0,0,0,0,31.52,0,0,0,0,0,0,0,0,0,35.81,36.61
D. Stabilizacja i Core,TRX Bodysaw,Hybryda: plank w zawieszeniu + dynamiczny ruch ramion. Potężne napięcie brzucha.,Cugliari 2017,https://doi.org/10.1515/hukin-2017-0023,0,0,0,0,0,0,0,4.0,78.5,0,0,0,0,0,0,0,0,0,59.0,32.0
D. Stabilizacja i Core,Suitcase Carry,Spacer farmera jednorącz (wymusza potężną pracę mięśni skośnych brzucha).,Ellestad 2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11042841/,0,0,0,0,0,0,0,29.1,18.9,0,0,0,0,0,21,0,0,0,33,0
D. Stabilizacja i Core,Bird Dog (Pies-ptak),Fundament ze szkoły McGilla (stabilizacja miednicy i zdrowie dolnego odcinka pleców).,Losavio 2023,https://www.mdpi.com/2075-4663/11/6/119,0,0,0,0,0,0,0,55,0,0,0,80,0,0,60,45,0,0,0,0
